angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
-90.0,7.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
126.87,5.0,1.0,1.0,-1.0,1.0,-1.0,1.0
135.0,5.66,1.0,1.0,-1.0,-1.0,1.0,1.0
141.34,6.4,1.0,1.0,-1.0,-1.0,1.0,1.0
146.31,7.21,1.0,1.0,-1.0,-1.0,1.0,2.0
150.26,8.06,2.0,1.0,-1.0,-1.0,1.0,2.0
156.8,7.62,2.0,1.0,-1.0,-1.0,-1.0,2.0
164.05,7.28,2.0,1.0,-1.0,-1.0,-1.0,2.0
171.87,7.07,2.0,1.0,-1.0,-1.0,-1.0,3.0
180.0,7.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
180.0,6.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,5.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,4.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,3.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,2.0,3.0,-1.0,1.0,-1.0,-1.0,3.0
180.0,1.0,3.0,-1.0,1.0,-1.0,-1.0,2.0
0.0,0.0,2.0,-1.0,1.0,-1.0,-1.0,2.0
77.47,9.22,2.0,1.0,-1.0,-1.0,-1.0,2.0
75.96,8.25,2.0,1.0,-1.0,-1.0,-1.0,2.0
74.05,7.28,2.0,1.0,-1.0,-1.0,-1.0,2.0
71.57,6.32,2.0,1.0,-1.0,-1.0,-1.0,2.0
68.2,5.39,2.0,1.0,-1.0,-1.0,-1.0,2.0
63.43,4.47,2.0,1.0,-1.0,-1.0,-1.0,2.0
56.31,3.61,2.0,1.0,-1.0,-1.0,-1.0,2.0
45.0,2.83,2.0,1.0,-1.0,-1.0,-1.0,2.0
26.57,2.24,2.0,1.0,-1.0,-1.0,-1.0,1.0
0.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,1.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
-8.13,7.07,1.0,-1.0,-1.0,-1.0,1.0,1.0
-9.46,6.08,1.0,-1.0,-1.0,-1.0,1.0,1.0
-11.31,5.1,1.0,-1.0,-1.0,-1.0,1.0,1.0
-14.04,4.12,1.0,-1.0,-1.0,-1.0,1.0,1.0
-18.43,3.16,1.0,-1.0,-1.0,-1.0,1.0,1.0
-26.57,2.24,1.0,-1.0,-1.0,-1.0,1.0,0.0
-45.0,1.41,0.0,-1.0,-1.0,-1.0,1.0,0.0
0.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
45.0,1.41,0.0,-1.0,-1.0,1.0,-1.0,0.0
63.43,2.24,0.0,-1.0,-1.0,1.0,-1.0,0.0
71.57,3.16,0.0,-1.0,-1.0,1.0,-1.0,0.0
75.96,4.12,0.0,-1.0,-1.0,1.0,-1.0,0.0
78.69,5.1,0.0,-1.0,-1.0,1.0,-1.0,1.0
80.54,6.08,1.0,-1.0,-1.0,1.0,-1.0,2.0
90.0,6.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
